customer_id,first_name,last_name,email,city,segment,signup_date
1,Danielle,Anderson,danielle.anderson1@example.com,Adelaide,Consumer,2023-03-20
2,Angel,Hart,angel.hart2@example.com,Perth,Consumer,2026-05-22
3,Joshua,Stone,joshua.stone3@example.com,Melbourne,Consumer,2026-01-23
4,Jeffrey,Welch,jeffrey.welch4@example.com,Canberra,Consumer,2023-04-09
5,Jill,Vasquez,jill.vasquez5@example.com,Canberra,Consumer,2026-05-21
6,Erica,White,erica.white6@example.com,Sydney,Consumer,2025-02-27
7,Patricia,Lynch,patricia.lynch7@example.com,Adelaide,Consumer,2025-07-28
8,Christopher,Erickson,christopher.erickson8@example.com,Perth,Business,2024-10-15
9,Robert,Krause,robert.krause9@example.com,Brisbane,Consumer,2023-08-08
10,Anthony,Smith,anthony.smith10@example.com,Adelaide,Consumer,2024-02-03
11,Jeffery,Johnson,jeffery.johnson11@example.com,Melbourne,Consumer,2026-01-12
12,William,Garrett,william.garrett12@example.com,Sydney,Consumer,2024-01-05
13,Anthony,Wilson,anthony.wilson13@example.com,Perth,Consumer,2025-03-31
14,James,Charles,james.charles14@example.com,Perth,Consumer,2023-10-07
15,Debra,Marsh,debra.marsh15@example.com,Perth,Business,2025-04-25
16,Amy,Duarte,amy.duarte16@example.com,Perth,Consumer,2025-06-12
17,Jeffrey,Gutierrez,jeffrey.gutierrez17@example.com,Melbourne,Consumer,2026-04-14
18,Bridget,Cook,bridget.cook18@example.com,Adelaide,Consumer,2026-04-05
19,Lisa,Castro,lisa.castro19@example.com,Sydney,Consumer,2026-03-30
20,Adam,Walsh,adam.walsh20@example.com,Canberra,Consumer,2025-07-26
21,Linda,Smith,linda.smith21@example.com,Melbourne,Consumer,2025-06-19
22,Helen,Harris,helen.harris22@example.com,Canberra,Consumer,2025-09-20
23,Matthew,Campbell,matthew.campbell23@example.com,Brisbane,Consumer,2023-02-01
24,Eric,Tyler,eric.tyler24@example.com,Sydney,Business,2025-04-29
25,Susan,Parker,susan.parker25@example.com,Perth,Consumer,2025-12-05
26,Matthew,Hunter,matthew.hunter26@example.com,Melbourne,Consumer,2023-01-12
27,Christopher,Nguyen,christopher.nguyen27@example.com,Canberra,Business,2025-02-09
28,Colin,Smith,colin.smith28@example.com,Perth,Consumer,2024-11-16
29,Melanie,Jennings,melanie.jennings29@example.com,Melbourne,Business,2024-07-26
30,Cassandra,Peterson,cassandra.peterson30@example.com,Canberra,Consumer,2025-03-08
31,Lindsay,Ramsey,lindsay.ramsey31@example.com,Canberra,Consumer,2024-09-02
32,Jessica,Gilbert,jessica.gilbert32@example.com,Brisbane,Consumer,2023-11-30
33,Amanda,Johnson,amanda.johnson33@example.com,Adelaide,Consumer,2024-06-29
34,Teresa,Thompson,teresa.thompson34@example.com,Melbourne,Consumer,2025-03-10
35,Nicholas,Rivera,nicholas.rivera35@example.com,Sydney,Business,2025-01-04
36,Andrea,Morgan,andrea.morgan36@example.com,Adelaide,Business,2026-05-20
37,Maria,Chambers,maria.chambers37@example.com,Sydney,Business,2024-04-17
38,Christine,Hendricks,christine.hendricks38@example.com,Perth,Consumer,2023-02-20
39,Michelle,Robles,michelle.robles39@example.com,Brisbane,Consumer,2024-03-08
40,Barbara,Brewer,barbara.brewer40@example.com,Melbourne,Consumer,2023-03-15
41,Janet,Olson,janet.olson41@example.com,Adelaide,Consumer,2025-06-19
